star_name,hip_name,hd_name,gj_name,st_exocatflag,st_coronagflag,st_starshadeflag,st_rvflag,st_ppnum,rastr,ra,decstr,dec,st_dist,st_disterr1,st_disterr2,st_vmag,st_vmagerr,st_bmv,st_bmverr,st_spttype,st_lbol,st_lbolerr,st_teff,st_tefferr,st_mass,st_masserr,st_logg,st_loggerr,st_age,st_ageerr,st_metfe,st_metfeerr,st_metratio
HIP 105766,HIP 105766,HD 204521,GJ 4194,1,0,0,0,0,21h25m16.73s,321.319693,+70d28m38.8s,70.477444,26.41,0.27,-0.26,7.26,0.01,0.62,0.02,G5,0.8,0.04,5765,,0.94,,4.3,,,,,,
HIP 105791,HIP 105791,HD 204079,,1,0,0,0,0,21h25m29.10s,321.371248,+27d12m39.9s,27.211083,29.42,0.91,-0.86,8.31,0.02,0.83,0.02,K1V,0.43,0.09,5110,,0.81,,,,,,,,
HIP 105858,HIP 105858,HD 203608,GJ 827,1,1,1,0,0,21h26m26.49s,321.610384,-65d22m05.3s,-65.368144,9.26,,,4.22,0.02,0.47,0.02,F7V,1.54,0.06,6205,,1.12,,4.42,,,,,,
HIP 105885,HIP 105885,,GJ 828.1,1,0,0,0,0,21h26m42.48s,321.676979,+03d44m14.2s,3.737271,27.08,1.73,-1.53,10.5,0.01,1.37,0.02,M1,0.1,0.15,4003,,0.56,,,,,,,,
HIP 105905,HIP 105905,HD 203850,GJ 827.1,1,0,0,0,0,21h26m57.76s,321.740671,-56d07m32.2s,-56.125602,23,0.47,-0.45,8.68,0.01,0.92,0.01,K3V,0.21,0.07,4746,,0.67,,4.69,,,,,,
HIP 105911,HIP 105911,HD 203985,GJ 828 A,1,0,0,0,0,21h27m01.11s,321.754628,-44d48m32.5s,-44.809018,23.51,0.73,-0.68,7.49,0.01,0.9,0.01,K1IV,0.59,0.08,5162,,0.87,,,,,,,,
HIP 105932,HIP 105932,,GJ 828.2,1,0,0,0,0,21h27m16.84s,321.820166,-06d50m35.9s,-6.843302,16.35,0.68,-0.63,11.09,0.01,1.5,0.01,M0,0.03,0.13,3756,,0.4,,,,,,,,
HIP 105963,HIP 105963,,GJ 4196,1,0,0,0,0,21h27m33.15s,321.888134,+34d01m30.2s,34.02506,27.87,2.76,-2.3,11.11,0.14,1.09,0.14,M0:,0.08,0.37,3790,,0.52,,,,,,,,
HIP 106106,HIP 106106,,GJ 829,1,0,0,0,0,21h29m36.20s,322.400815,+17d38m32.6s,17.642376,6.71,0.07,-0.07,10.33,0,1.62,0.01,M2.0V,0.02,0.09,3321,,0.37,,,,,,,,
HIP 106122,HIP 106122,HD 204814,,1,0,0,0,0,21h29m46.46s,322.443583,+45d53m37.1s,45.893634,29.1,0.59,-0.57,7.93,0,0.76,0,G8V,0.56,0.04,5408,,0.86,,,,,,,,
